track_name,artists,cover_url
dear god,avenged sevenfold,https://i.scdn.co/image/ab67616d0000b27333c52ca8309741c6999ca742
greyhound,whomadewho,https://i.scdn.co/image/ab67616d0000b2739a8a0110e4939c9f9c6944cc
xonei,jorge & mateus,https://i.scdn.co/image/ab67616d0000b2732b34d3f3b1ee50d443b646ec
pokémon theme lofi,kato,https://i.scdn.co/image/ab67616d0000b273ff662f0affe1a5420d3d6b81
story of my life,one direction,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1
"miroirs, m. 43: v. la vallée des cloches",maurice ravel,https://i.scdn.co/image/ab67616d0000b273a007a5c4c2da923ba78d5e30
dance monkey,roses & frey,https://i.scdn.co/image/ab67616d0000b27354fc9a7bc572c8a0d2fb39b1
gunnera,isan,https://i.scdn.co/image/ab67616d0000b2739ed31044b9b94123b67a146c
"morni banke (from ""badhaai ho"")",guru randhawa,https://i.scdn.co/image/ab67616d0000b2737c47019d9cc68e1060a3fcb9
"não, mas quase (ao vivo)",israel & rodolffo,https://i.scdn.co/image/ab67616d0000b2738e04051a0da2346cd1f81bb6
filho da mãe,guilherme & benuto,https://i.scdn.co/image/ab67616d0000b2739511608b18e4412ec57053ff
she bad,khantrast,https://i.scdn.co/image/ab67616d0000b2738dbb67980d4f17aedd3b69ca
gastrosexuál,wohnout,https://i.scdn.co/image/ab67616d0000b2734d5f8f3f698e04be1fb03634
venom,ravyn lenae,https://i.scdn.co/image/ab67616d0000b273a2a1ffef42c5c2ba1eb8c9a5
intento fallido no. 7,chingadazo de kung fu,https://i.scdn.co/image/ab67616d0000b27386adf120275f7f0b2c64427b
world spins madly on,the weepies,https://i.scdn.co/image/ab67616d0000b273c28b60c055398ee16b899cc2
tubarões,diego & victor hugo,https://i.scdn.co/image/ab67616d0000b273dec04b819cf8d034390815a8
jet set run,yuki hayashi,https://i.scdn.co/image/ab67616d0000b2737af4267d2902bfad57daa5f8
main theme,katsu hoshi,https://i.scdn.co/image/ab67616d0000b273fda59b9def4055642220404d
at least i had fun,martin jensen,https://i.scdn.co/image/ab67616d0000b273fb391d6588890185afd3435b
"attention, please!",enhypen,https://i.scdn.co/image/ab67616d0000b2736772cf096be8acc1df092519
mellow sea,maj majid,https://i.scdn.co/image/ab67616d0000b2737a79745d1ba16455554cbe87
foil,autechre,https://i.scdn.co/image/ab67616d0000b27333411ff5d74ae290a12fdc44
a bar song (tipsy),shaboozey,https://i.scdn.co/image/ab67616d0000b27380d86d636244b72a3a1eede2
ethereal,dirk maassen,https://i.scdn.co/image/ab67616d0000b273b4dca66c211e31ea1fe9c9c2
love story,taylor swift,https://i.scdn.co/image/ab67616d0000b273877ea8fa223c26f19aaef92d
greatest strength,hiroaki tsutsumi,https://i.scdn.co/image/ab67616d0000b273283da7197a2e5d610adfe4e9
brilho oculto,mato seco,https://i.scdn.co/image/ab67616d0000b27374d74f2edf766a85270f6e41
savages (part i),haruki sayama,https://i.scdn.co/image/ab67616d0000b273d3164919407c0dc22edd6f32
like jennie,jennie,https://i.scdn.co/image/ab67616d0000b2735a43918ea90bf1e44b7bdcfd
more than you know - acoustic covers of popular songs,filip nordin,https://i.scdn.co/image/ab67616d0000b2731c54820f696c821262f00079
violent pornography,system of a down,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71
wax poetry,dazik69,https://i.scdn.co/image/ab67616d0000b273d3e7173c84f845c4143d6d83
sempre seu homem,gusttavo lima,https://i.scdn.co/image/ab67616d0000b2734945b446d98cf33fabc310c6
dama do baralho,diego & victor hugo,https://i.scdn.co/image/ab67616d0000b273368f8daab35d87c42af43961
"danse macabre, op. 40, r.171",camille saint-saëns,https://i.scdn.co/image/ab67616d0000b27358a05301719e0c8414238369
cumbia elemental,subhira,https://i.scdn.co/image/ab67616d0000b273dbac23f1098336eb028e9224
mentirosa (ao vivo),hugo & guilherme,https://i.scdn.co/image/ab67616d0000b273e295ee75598a12d933800298
"gojo satoru hollow purple theme (from ""jujutsu kaisen"")",samuel kim,https://i.scdn.co/image/ab67616d0000b273164b9116394e5c297badb2c4
ramparts,john frusciante,https://i.scdn.co/image/ab67616d0000b2732212a5deaedc7b5060799d83
raison detre,eve,https://i.scdn.co/image/ab67616d0000b2733aba86f5fd6944eb9f6836e1
vampiro,matuê,https://i.scdn.co/image/ab67616d0000b273dc3a305af681ef47bf011893
whole again - acoustic version,tobey rosen,https://i.scdn.co/image/ab67616d0000b2734cb214946ce2d6074e7f862c
ela (ao vivo),sorriso maroto,https://i.scdn.co/image/ab67616d0000b27351ef5a862e48d1bd2b364d27
dona ao vivo,luan santana,https://i.scdn.co/image/ab67616d0000b273a5a67085591d0a13f5e54ec6
we stayed up all night,tourist,https://i.scdn.co/image/ab67616d0000b27362e6c93be77451879c72bd35
コンセプトの戦い,yuki hayashi,https://i.scdn.co/image/ab67616d0000b273122cfdb07236e2518a35d406
castle on the hill - throttle remix,ed sheeran,https://i.scdn.co/image/ab67616d0000b273d21ce4d667a3924fb66e22b7
se melhorar estraga - ao vivo,matheus & kauan,https://i.scdn.co/image/ab67616d0000b273a145f0bbbb0ee0e29dfb4b4a
traición,miranda!,https://i.scdn.co/image/ab67616d0000b27341ca8a8fdfcce2d6ff7f2d05
黒点,yasuharu takanashi,https://i.scdn.co/image/ab67616d0000b273f9f0edfe58bbb6e3c44e574f
know know know,does,https://i.scdn.co/image/ab67616d0000b2732c6161d2af919099ba1b0bd9
呪術廻戦,hiroaki tsutsumi,https://i.scdn.co/image/ab67616d0000b2739230f7c8dfff664d6ac2ad0b
falando sério / querendo te amar,fiduma & jeca,https://i.scdn.co/image/ab67616d0000b273c12e684871949364e0a84f3c
"the punjaabban song (from ""jugjugg jeeyo"")",tanishk bagchi,https://i.scdn.co/image/ab67616d0000b273fe4ccbc7269118464a4b2415
between the stars,canyon city,https://i.scdn.co/image/ab67616d0000b27328104c19d0eeaf25aff4f4cb
something in the way,nirvana,https://i.scdn.co/image/ab67616d0000b273fbc71c99f9c1296c56dd51b6
scope,gimmik,https://i.scdn.co/image/ab67616d0000b2733047816df8ff8d4b3cc49e64
diz pra mim,fernando & sorocaba,https://i.scdn.co/image/ab67616d0000b273e074a4710ff82979a36ccf21
strong and strike,acn music.,https://i.scdn.co/image/ab67616d0000b273a67a156beb6980a228be56bf
sujeito homem,guilherme & benuto,https://i.scdn.co/image/ab67616d0000b27365bf696c1df34686746b73c4
cicatrizes - ao vivo,kleo dibah & rafael,https://i.scdn.co/image/ab67616d0000b2732a81b241ebe9f594b3481c8b
milh,plaid,https://i.scdn.co/image/ab67616d0000b2739d746477dfa4e8406c6be05a
"le tombeau de couperin, m. 68: iii. forlane. allegretto",maurice ravel,https://i.scdn.co/image/ab67616d0000b273370d50b7f37af3527ee980d2
too small for the world,taska black,https://i.scdn.co/image/ab67616d0000b273ae9602d746afc91a746bc118
morro de saudade / medo de amar / maus bocados - ao vivo,lauana prado,https://i.scdn.co/image/ab67616d0000b2731bbf55402ec03da1d721de82
anxiety,doechii,https://i.scdn.co/image/ab67616d0000b2733de7e97b3e5aa3eaccfc19ec
das duas uma - ao vivo,júnior e cézar,https://i.scdn.co/image/ab67616d0000b27380e18aebf1702a4c22d80cc0
i feel alone,bnv project,https://i.scdn.co/image/ab67616d0000b2737c209a0152dee64c6204345b
maluca (ao vivo),mari fernandez,https://i.scdn.co/image/ab67616d0000b273343994240bbd23b880a2b2b0
photograph,boyce avenue,https://i.scdn.co/image/ab67616d0000b273eb52107a749a04b3741316dc
lvs,kensuke ushio,https://i.scdn.co/image/ab67616d0000b273598142e7eef56d543ec8f922
are you gonna go my way,lenny kravitz,https://i.scdn.co/image/ab67616d0000b273542d87e4d1512bf7facb3860
xtasy - remix,ravyn lenae,https://i.scdn.co/image/ab67616d0000b273e068fe103ccaace7b56414c7
i'll be good,jaymes young,https://i.scdn.co/image/ab67616d0000b273a9897f65d1ead1be10a51e3f
